0.75,0.8,100,-2,1
0.8,0
0.8,0.12
0.12,0.12
0.12,0.0792
0.0792,0.0792
0.0792,0.0546955
0.0546955,0.0546955
0.0546955,0.0387779
0.0387779,0.0387779
0.0387779,0.0279557
0.0279557,0.0279557
0.0279557,0.0203806
0.0203806,0.0203806
0.0203806,0.0149739
0.0149739,0.0149739
0.0149739,0.0110623
0.0110623,0.0110623
0.0110623,0.00820493
0.00820493,0.00820493
0.00820493,0.00610321
0.00610321,0.00610321
0.00610321,0.00454947
0.00454947,0.00454947
0.00454947,0.00339658
0.00339658,0.00339658
0.00339658,0.00253878
0.00253878,0.00253878
0.00253878,0.00189925
0.00189925,0.00189925
0.00189925,0.00142173
0.00142173,0.00142173
0.00142173,0.00106478
0.00106478,0.00106478
0.00106478,0.000797738
0.000797738,0.000797738
0.000797738,0.000597826
0.000597826,0.000597826
0.000597826,0.000448101
0.000448101,0.000448101
0.000448101,0.000335925
0.000335925,0.000335925
0.000335925,0.000251859
0.000251859,0.000251859
0.000251859,0.000188847
0.000188847,0.000188847
0.000188847,0.000141609
0.000141609,0.000141609
0.000141609,0.000106191
0.000106191,0.000106191
0.000106191,7.96351e-05
7.96351e-05,7.96351e-05
7.96351e-05,5.97215e-05
5.97215e-05,5.97215e-05
5.97215e-05,4.47885e-05
4.47885e-05,4.47885e-05
4.47885e-05,3.35899e-05
3.35899e-05,3.35899e-05
3.35899e-05,2.51915e-05
2.51915e-05,2.51915e-05
2.51915e-05,1.88932e-05
1.88932e-05,1.88932e-05
1.88932e-05,1.41696e-05
1.41696e-05,1.41696e-05
1.41696e-05,1.06271e-05
1.06271e-05,1.06271e-05
1.06271e-05,7.97021e-06
7.97021e-06,7.97021e-06
7.97021e-06,5.97761e-06
5.97761e-06,5.97761e-06
5.97761e-06,4.48318e-06
4.48318e-06,4.48318e-06
4.48318e-06,3.36237e-06
3.36237e-06,3.36237e-06
3.36237e-06,2.52177e-06
2.52177e-06,2.52177e-06
