11,0.75,0.2,-1.5,1.5
0.2,0
0.2,0.48
0.48,0.48
0.48,0.7488
0.7488,0.7488
0.7488,0.564296
0.564296,0.564296
0.564296,0.737598
0.737598,0.737598
0.737598,0.580641
0.580641,0.580641
0.580641,0.730491
0.730491,0.730491
0.730491,0.590622
0.590622,0.590622
0.590622,0.725363
0.725363,0.725363
0.725363,0.597634
0.597634,0.597634
0.597634,0.721403
0.721403,0.721403
0.721403,0.602943
0.602943,0.602943
0.602943,0.718208
0.718208,0.718208
0.718208,0.607155
0.607155,0.607155
0.607155,0.715553
0.715553,0.715553
0.715553,0.61061
0.61061,0.61061
0.61061,0.713296
0.713296,0.713296
0.713296,0.613514
0.613514,0.613514
0.613514,0.711343
0.711343,0.711343
0.711343,0.616002
0.616002,0.616002
0.616002,0.709631
0.709631,0.709631
0.709631,0.618165
0.618165,0.618165
0.618165,0.708111
0.708111,0.708111
0.708111,0.620069
0.620069,0.620069
0.620069,0.70675
0.70675,0.70675
0.70675,0.621763
0.621763,0.621763
0.621763,0.705521
0.705521,0.705521
0.705521,0.623283
0.623283,0.623283
0.623283,0.704404
0.704404,0.704404
0.704404,0.624657
0.624657,0.624657
0.624657,0.703382
0.703382,0.703382
0.703382,0.625908
0.625908,0.625908
0.625908,0.702442
0.702442,0.702442
0.702442,0.627052
0.627052,0.627052
0.627052,0.701573
0.701573,0.701573
0.701573,0.628104
0.628104,0.628104
0.628104,0.700768
0.700768,0.700768
0.700768,0.629077
0.629077,0.629077
0.629077,0.700017
0.700017,0.700017
0.700017,0.629979
0.629979,0.629979
0.629979,0.699316
0.699316,0.699316
0.699316,0.630819
0.630819,0.630819
0.630819,0.698659
0.698659,0.698659
0.698659,0.631604
0.631604,0.631604
0.631604,0.698041
0.698041,0.698041
0.698041,0.632339
0.632339,0.632339
0.632339,0.697459
0.697459,0.697459
0.697459,0.633029
0.633029,0.633029
0.633029,0.69691
0.69691,0.69691
0.69691,0.63368
0.63368,0.63368
0.63368,0.696389
0.696389,0.696389
0.696389,0.634294
0.634294,0.634294
0.634294,0.695895
0.695895,0.695895
0.695895,0.634875
0.634875,0.634875
0.634875,0.695426
0.695426,0.695426
0.695426,0.635426
0.635426,0.635426
0.635426,0.69498
0.69498,0.69498
0.69498,0.635949
0.635949,0.635949
0.635949,0.694554
0.694554,0.694554
0.694554,0.636447
0.636447,0.636447
0.636447,0.694147
0.694147,0.694147
0.694147,0.636921
0.636921,0.636921
0.636921,0.693758
0.693758,0.693758
0.693758,0.637373
0.637373,0.637373
0.637373,0.693386
0.693386,0.693386
0.693386,0.637806
0.637806,0.637806
0.637806,0.693028
0.693028,0.693028
0.693028,0.63822
0.63822,0.63822
0.63822,0.692686
0.692686,0.692686
0.692686,0.638617
0.638617,0.638617
0.638617,0.692356
0.692356,0.692356
0.692356,0.638997
0.638997,0.638997
0.638997,0.692039
0.692039,0.692039
0.692039,0.639363
0.639363,0.639363
0.639363,0.691734
0.691734,0.691734
0.691734,0.639714
0.639714,0.639714
